Dataset,#TrainingRelease,Classifier,Precision,Recall,AUC,Kappa
BOOKKEEPER,1,NaiveBayes,0.9935632183908046,1.0,0.5,0.0
BOOKKEEPER,1,IBk,0.9935632183908046,1.0,0.5,0.0
BOOKKEEPER,1,RandomForest,0.9935632183908046,1.0,0.5,0.0
BOOKKEEPER,2,NaiveBayes,0.9945147679324895,0.9711578079934075,0.9586540622541858,0.6275569829162759
BOOKKEEPER,2,IBk,0.9987654320987654,1.0,0.9848227328913362,0.982041486665001
BOOKKEEPER,2,RandomForest,0.9987654320987654,1.0,0.9834321272053039,0.982041486665001
BOOKKEEPER,3,NaiveBayes,0.9694176790950985,0.9935594675826535,0.9383030022789576,0.27582853295428983
BOOKKEEPER,3,IBk,0.9957246686618213,1.0,0.949018349619466,0.9397257271518167
BOOKKEEPER,3,RandomForest,0.9957246686618213,1.0,0.9481218652536815,0.9397257271518167
