Dataset,#TrainingRelease,%Training,%DefectiveTraining,%DefectiveTesting,Classifier,Balancing,Feature Selection,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
SYNCOPE,1,55.949898,0.09330534,18.54815,NaiveBayes,No Sampling,No Selection,No Cost Sensitive,2.0,0.0,2750.0,624.0,1.0,0.003194888178913738,0.5055846645367412,0.005194501006788758
SYNCOPE,1,55.949898,0.09330534,18.54815,IBk,No Sampling,No Selection,No Cost Sensitive,2.0,0.0,2750.0,624.0,1.0,0.003194888178913738,0.4928980540226547,0.005194501006788758
SYNCOPE,1,55.949898,0.09330534,18.54815,RandomForest,No Sampling,No Selection,No Cost Sensitive,0.0,0.0,2750.0,626.0,NaN,0.0,0.5015974440894568,0.0
SYNCOPE,1,55.949898,0.09330534,18.54815,NaiveBayes,No Sampling,No Selection,Sensitive Threshold,2.0,3.0,2747.0,624.0,0.4,0.003194888178913738,0.5010519895440023,0.0034105525622456032
SYNCOPE,1,55.949898,0.09330534,18.54815,IBk,No Sampling,No Selection,Sensitive Threshold,2.0,0.0,2750.0,624.0,1.0,0.003194888178913738,0.5015974440894568,0.005194501006788758
SYNCOPE,1,55.949898,0.09330534,18.54815,RandomForest,No Sampling,No Selection,Sensitive Threshold,2.0,0.0,2750.0,624.0,1.0,0.003194888178913738,0.5015974440894568,0.005194501006788758
SYNCOPE,1,55.949898,0.09330534,18.54815,NaiveBayes,No Sampling,No Selection,Sensitive Learning,2.0,3.0,2747.0,624.0,0.4,0.003194888178913738,0.5055846645367412,0.0034105525622456032
SYNCOPE,1,55.949898,0.09330534,18.54815,IBk,No Sampling,No Selection,Sensitive Learning,2.0,0.0,2750.0,624.0,1.0,0.003194888178913738,0.4928980540226547,0.005194501006788758
SYNCOPE,1,55.949898,0.09330534,18.54815,RandomForest,No Sampling,No Selection,Sensitive Learning,0.0,0.0,2750.0,626.0,NaN,0.0,0.5014162067963985,0.0
SYNCOPE,1,55.949898,0.09330534,18.54815,NaiveBayes,No Sampling,Best First,No Cost Sensitive,2.0,0.0,2750.0,624.0,1.0,0.003194888178913738,0.4928980540226547,0.005194501006788758
SYNCOPE,1,55.949898,0.09330534,18.54815,IBk,No Sampling,Best First,No Cost Sensitive,2.0,0.0,2750.0,624.0,1.0,0.003194888178913738,0.4928980540226547,0.005194501006788758
SYNCOPE,1,55.949898,0.09330534,18.54815,RandomForest,No Sampling,Best First,No Cost Sensitive,2.0,0.0,2750.0,624.0,1.0,0.003194888178913738,0.5015974440894568,0.005194501006788758
SYNCOPE,1,55.949898,0.09330534,18.54815,NaiveBayes,No Sampling,Best First,Sensitive Threshold,2.0,0.0,2750.0,624.0,1.0,0.003194888178913738,0.5015974440894568,0.005194501006788758
SYNCOPE,1,55.949898,0.09330534,18.54815,IBk,No Sampling,Best First,Sensitive Threshold,2.0,0.0,2750.0,624.0,1.0,0.003194888178913738,0.5015974440894568,0.005194501006788758
SYNCOPE,1,55.949898,0.09330534,18.54815,RandomForest,No Sampling,Best First,Sensitive Threshold,2.0,0.0,2750.0,624.0,1.0,0.003194888178913738,0.5015974440894568,0.005194501006788758
SYNCOPE,1,55.949898,0.09330534,18.54815,NaiveBayes,No Sampling,Best First,Sensitive Learning,2.0,0.0,2750.0,624.0,1.0,0.003194888178913738,0.4928980540226547,0.005194501006788758
SYNCOPE,1,55.949898,0.09330534,18.54815,IBk,No Sampling,Best First,Sensitive Learning,2.0,0.0,2750.0,624.0,1.0,0.003194888178913738,0.4928980540226547,0.005194501006788758
SYNCOPE,1,55.949898,0.09330534,18.54815,RandomForest,No Sampling,Best First,Sensitive Learning,2.0,0.0,2750.0,624.0,1.0,0.003194888178913738,0.5015974440894568,0.005194501006788758
SYNCOPE,1,71.75368,49.994167,18.54815,NaiveBayes,Oversampling,No Selection,No Cost Sensitive,2.0,11.0,2739.0,624.0,0.15384615384615385,0.003194888178913738,0.5055846645367412,-0.0012947293492535808
SYNCOPE,1,71.75368,49.994167,18.54815,IBk,Oversampling,No Selection,No Cost Sensitive,2.0,0.0,2750.0,624.0,1.0,0.003194888178913738,0.4928980540226547,0.005194501006788758
SYNCOPE,1,71.75368,49.994167,18.54815,RandomForest,Oversampling,No Selection,No Cost Sensitive,0.0,0.0,2750.0,626.0,NaN,0.0,0.5015974440894568,0.0
SYNCOPE,1,71.75368,49.994167,18.54815,NaiveBayes,Oversampling,No Selection,Sensitive Threshold,2.0,13.0,2737.0,624.0,0.13333333333333333,0.003194888178913738,0.4992338077258205,-0.0024594030680075026
SYNCOPE,1,71.75368,49.994167,18.54815,IBk,Oversampling,No Selection,Sensitive Threshold,2.0,0.0,2750.0,624.0,1.0,0.003194888178913738,0.5015974440894568,0.005194501006788758
SYNCOPE,1,71.75368,49.994167,18.54815,RandomForest,Oversampling,No Selection,Sensitive Threshold,2.0,0.0,2750.0,624.0,1.0,0.003194888178913738,0.5015974440894568,0.005194501006788758
SYNCOPE,1,71.75368,49.994167,18.54815,NaiveBayes,Oversampling,No Selection,Sensitive Learning,2.0,13.0,2737.0,624.0,0.13333333333333333,0.003194888178913738,0.5055846645367412,-0.0024594030680075026
SYNCOPE,1,71.75368,49.994167,18.54815,IBk,Oversampling,No Selection,Sensitive Learning,2.0,0.0,2750.0,624.0,1.0,0.003194888178913738,0.4928980540226547,0.005194501006788758
SYNCOPE,1,71.75368,49.994167,18.54815,RandomForest,Oversampling,No Selection,Sensitive Learning,0.0,0.0,2750.0,626.0,NaN,0.0,0.5015974440894568,0.0
SYNCOPE,1,71.75368,49.994167,18.54815,NaiveBayes,Oversampling,Best First,No Cost Sensitive,2.0,0.0,2750.0,624.0,1.0,0.003194888178913738,0.5090281731048504,0.005194501006788758
SYNCOPE,1,71.75368,49.994167,18.54815,IBk,Oversampling,Best First,No Cost Sensitive,2.0,0.0,2750.0,624.0,1.0,0.003194888178913738,0.4928980540226547,0.005194501006788758
SYNCOPE,1,71.75368,49.994167,18.54815,RandomForest,Oversampling,Best First,No Cost Sensitive,2.0,0.0,2750.0,624.0,1.0,0.003194888178913738,0.5015974440894568,0.005194501006788758
SYNCOPE,1,71.75368,49.994167,18.54815,NaiveBayes,Oversampling,Best First,Sensitive Threshold,2.0,0.0,2750.0,624.0,1.0,0.003194888178913738,0.5015974440894568,0.005194501006788758
SYNCOPE,1,71.75368,49.994167,18.54815,IBk,Oversampling,Best First,Sensitive Threshold,2.0,0.0,2750.0,624.0,1.0,0.003194888178913738,0.5015974440894568,0.005194501006788758
SYNCOPE,1,71.75368,49.994167,18.54815,RandomForest,Oversampling,Best First,Sensitive Threshold,2.0,0.0,2750.0,624.0,1.0,0.003194888178913738,0.5015974440894568,0.005194501006788758
SYNCOPE,1,71.75368,49.994167,18.54815,NaiveBayes,Oversampling,Best First,Sensitive Learning,2.0,0.0,2750.0,624.0,1.0,0.003194888178913738,0.5090281731048504,0.005194501006788758
SYNCOPE,1,71.75368,49.994167,18.54815,IBk,Oversampling,Best First,Sensitive Learning,2.0,0.0,2750.0,624.0,1.0,0.003194888178913738,0.4928980540226547,0.005194501006788758
SYNCOPE,1,71.75368,49.994167,18.54815,RandomForest,Oversampling,Best First,Sensitive Learning,2.0,0.0,2750.0,624.0,1.0,0.003194888178913738,0.5015974440894568,0.005194501006788758
SYNCOPE,1,0.23640662,42.857143,18.54815,NaiveBayes,Undersampling,No Selection,No Cost Sensitive,2.0,0.0,2750.0,624.0,1.0,0.003194888178913738,0.5066720882950915,0.005194501006788758
SYNCOPE,1,0.23640662,42.857143,18.54815,IBk,Undersampling,No Selection,No Cost Sensitive,2.0,21.0,2729.0,624.0,0.08695652173913043,0.003194888178913738,0.4937920418239907,-0.007072334647410241
SYNCOPE,1,0.23640662,42.857143,18.54815,RandomForest,Undersampling,No Selection,No Cost Sensitive,2.0,0.0,2750.0,624.0,1.0,0.003194888178913738,0.4928980540226547,0.005194501006788758
SYNCOPE,1,0.23640662,42.857143,18.54815,NaiveBayes,Undersampling,No Selection,Sensitive Threshold,2.0,0.0,2750.0,624.0,1.0,0.003194888178913738,0.5015974440894568,0.005194501006788758
SYNCOPE,1,0.23640662,42.857143,18.54815,IBk,Undersampling,No Selection,Sensitive Threshold,2.0,43.0,2707.0,624.0,0.044444444444444446,0.003194888178913738,0.49377926227127505,-0.019391966159579492
SYNCOPE,1,0.23640662,42.857143,18.54815,RandomForest,Undersampling,No Selection,Sensitive Threshold,2.0,48.0,2702.0,624.0,0.04,0.003194888178913738,0.49287017136218414,-0.02211953994817022
SYNCOPE,1,0.23640662,42.857143,18.54815,NaiveBayes,Undersampling,No Selection,Sensitive Learning,2.0,0.0,2750.0,624.0,1.0,0.003194888178913738,0.5066720882950915,0.005194501006788758
SYNCOPE,1,0.23640662,42.857143,18.54815,IBk,Undersampling,No Selection,Sensitive Learning,2.0,21.0,2729.0,624.0,0.08695652173913043,0.003194888178913738,0.4937920418239907,-0.007072334647410241
SYNCOPE,1,0.23640662,42.857143,18.54815,RandomForest,Undersampling,No Selection,Sensitive Learning,626.0,2750.0,0.0,0.0,0.1854265402843602,1.0,0.49288237002614,0.0
SYNCOPE,1,0.23640662,42.857143,18.54815,NaiveBayes,Undersampling,Best First,No Cost Sensitive,2.0,0.0,2750.0,624.0,1.0,0.003194888178913738,0.4928980540226547,0.005194501006788758
SYNCOPE,1,0.23640662,42.857143,18.54815,IBk,Undersampling,Best First,No Cost Sensitive,2.0,0.0,2750.0,624.0,1.0,0.003194888178913738,0.4928980540226547,0.005194501006788758
SYNCOPE,1,0.23640662,42.857143,18.54815,RandomForest,Undersampling,Best First,No Cost Sensitive,2.0,0.0,2750.0,624.0,1.0,0.003194888178913738,0.4928980540226547,0.005194501006788758
SYNCOPE,1,0.23640662,42.857143,18.54815,NaiveBayes,Undersampling,Best First,Sensitive Threshold,2.0,0.0,2750.0,624.0,1.0,0.003194888178913738,0.5015974440894568,0.005194501006788758
SYNCOPE,1,0.23640662,42.857143,18.54815,IBk,Undersampling,Best First,Sensitive Threshold,2.0,48.0,2702.0,624.0,0.04,0.003194888178913738,0.49287017136218414,-0.02211953994817022
SYNCOPE,1,0.23640662,42.857143,18.54815,RandomForest,Undersampling,Best First,Sensitive Threshold,2.0,48.0,2702.0,624.0,0.04,0.003194888178913738,0.49287017136218414,-0.02211953994817022
SYNCOPE,1,0.23640662,42.857143,18.54815,NaiveBayes,Undersampling,Best First,Sensitive Learning,2.0,0.0,2750.0,624.0,1.0,0.003194888178913738,0.4928980540226547,0.005194501006788758
SYNCOPE,1,0.23640662,42.857143,18.54815,IBk,Undersampling,Best First,Sensitive Learning,2.0,0.0,2750.0,624.0,1.0,0.003194888178913738,0.4928980540226547,0.005194501006788758
SYNCOPE,1,0.23640662,42.857143,18.54815,RandomForest,Undersampling,Best First,Sensitive Learning,2.0,48.0,2702.0,624.0,0.04,0.003194888178913738,0.4928980540226547,-0.02211953994817022
SYNCOPE,1,55.972874,0.18643673,18.54815,NaiveBayes,Smote,No Selection,No Cost Sensitive,2.0,1.0,2749.0,624.0,0.6666666666666666,0.003194888178913738,0.4972477490560558,0.004598659840697964
SYNCOPE,1,55.972874,0.18643673,18.54815,IBk,Smote,No Selection,No Cost Sensitive,2.0,0.0,2750.0,624.0,1.0,0.003194888178913738,0.4928980540226547,0.005194501006788758
SYNCOPE,1,55.972874,0.18643673,18.54815,RandomForest,Smote,No Selection,No Cost Sensitive,0.0,0.0,2750.0,626.0,NaN,0.0,0.5015974440894568,0.0
SYNCOPE,1,55.972874,0.18643673,18.54815,NaiveBayes,Smote,No Selection,Sensitive Threshold,2.0,3.0,2747.0,624.0,0.4,0.003194888178913738,0.5010519895440023,0.0034105525622456032
SYNCOPE,1,55.972874,0.18643673,18.54815,IBk,Smote,No Selection,Sensitive Threshold,2.0,0.0,2750.0,624.0,1.0,0.003194888178913738,0.5015974440894568,0.005194501006788758
SYNCOPE,1,55.972874,0.18643673,18.54815,RandomForest,Smote,No Selection,Sensitive Threshold,2.0,0.0,2750.0,624.0,1.0,0.003194888178913738,0.5015974440894568,0.005194501006788758
SYNCOPE,1,55.972874,0.18643673,18.54815,NaiveBayes,Smote,No Selection,Sensitive Learning,2.0,3.0,2747.0,624.0,0.4,0.003194888178913738,0.4972477490560558,0.0034105525622456032
SYNCOPE,1,55.972874,0.18643673,18.54815,IBk,Smote,No Selection,Sensitive Learning,2.0,0.0,2750.0,624.0,1.0,0.003194888178913738,0.4928980540226547,0.005194501006788758
SYNCOPE,1,55.972874,0.18643673,18.54815,RandomForest,Smote,No Selection,Sensitive Learning,0.0,0.0,2750.0,626.0,NaN,0.0,0.5015974440894568,0.0
SYNCOPE,1,55.972874,0.18643673,18.54815,NaiveBayes,Smote,Best First,No Cost Sensitive,2.0,0.0,2750.0,624.0,1.0,0.003194888178913738,0.5090281731048504,0.005194501006788758
SYNCOPE,1,55.972874,0.18643673,18.54815,IBk,Smote,Best First,No Cost Sensitive,2.0,0.0,2750.0,624.0,1.0,0.003194888178913738,0.4928980540226547,0.005194501006788758
SYNCOPE,1,55.972874,0.18643673,18.54815,RandomForest,Smote,Best First,No Cost Sensitive,2.0,0.0,2750.0,624.0,1.0,0.003194888178913738,0.5015974440894568,0.005194501006788758
SYNCOPE,1,55.972874,0.18643673,18.54815,NaiveBayes,Smote,Best First,Sensitive Threshold,2.0,0.0,2750.0,624.0,1.0,0.003194888178913738,0.5015974440894568,0.005194501006788758
SYNCOPE,1,55.972874,0.18643673,18.54815,IBk,Smote,Best First,Sensitive Threshold,2.0,0.0,2750.0,624.0,1.0,0.003194888178913738,0.5015974440894568,0.005194501006788758
SYNCOPE,1,55.972874,0.18643673,18.54815,RandomForest,Smote,Best First,Sensitive Threshold,2.0,0.0,2750.0,624.0,1.0,0.003194888178913738,0.5015974440894568,0.005194501006788758
SYNCOPE,1,55.972874,0.18643673,18.54815,NaiveBayes,Smote,Best First,Sensitive Learning,2.0,0.0,2750.0,624.0,1.0,0.003194888178913738,0.5090281731048504,0.005194501006788758
SYNCOPE,1,55.972874,0.18643673,18.54815,IBk,Smote,Best First,Sensitive Learning,2.0,0.0,2750.0,624.0,1.0,0.003194888178913738,0.4928980540226547,0.005194501006788758
SYNCOPE,1,55.972874,0.18643673,18.54815,RandomForest,Smote,Best First,Sensitive Learning,2.0,0.0,2750.0,624.0,1.0,0.003194888178913738,0.5015974440894568,0.005194501006788758
